east_phi,west_phi,east_r,west_r
1.63264,1.63264,19.69997,19.69997
1.71531,1.71531,19.70001,19.70001
1.79798,1.79798,19.70002,19.70002
1.88066,1.88066,19.70004,19.70004
1.96333,1.96333,19.70002,19.70002
2.04600,2.04600,19.70003,19.70003
2.12868,2.12868,19.69999,19.69999
2.21135,2.21135,19.70004,19.70004
2.29402,2.29402,19.70004,19.70004
2.37670,2.37670,19.70000,19.70000
2.45937,2.45937,19.70001,19.70001
2.54205,2.54205,19.70003,19.70003
2.62472,2.62472,19.69997,19.69997
2.70739,2.70739,19.69998,19.69998
2.79006,2.79006,19.69998,19.69998
2.87274,2.87274,19.70002,19.70002
2.95541,2.95541,19.70001,19.70001
3.03809,3.03809,19.70005,19.70005
3.12076,3.12076,19.70004,19.70004
3.20343,3.20343,19.69997,19.69997
3.28610,3.28610,19.70001,19.70001
3.36878,3.36878,19.70002,19.70002
3.45145,3.45145,19.70004,19.70004
3.53413,3.53413,19.70002,19.70002
3.61680,3.61680,19.70003,19.70003
3.69947,3.69947,19.69999,19.69999
3.78215,3.78215,19.70004,19.70004
3.86482,3.86482,19.70004,19.70004
3.94749,3.94749,19.70000,19.70000
4.03017,4.03017,19.70001,19.70001
4.11284,4.11284,19.70003,19.70003
4.19551,4.19551,19.69997,19.69997
4.27819,4.27819,19.69998,19.69998
4.36086,4.36086,19.69998,19.69998
4.44353,4.44353,19.70002,19.70002
4.52621,4.52621,19.70001,19.70001
4.60888,4.60888,19.70005,19.70005
4.69155,4.69155,19.70004,19.70004
4.77434,4.77434,19.69997,19.69997
4.85701,4.85701,19.70001,19.70001
4.93968,4.93968,19.70002,19.70002
5.02236,5.02236,19.70004,19.70004
5.10503,5.10503,19.70002,19.70002
5.18770,5.18770,19.70003,19.70003
5.27038,5.27038,19.69999,19.69999
5.35305,5.35305,19.70004,19.70004
5.43572,5.43572,19.70004,19.70004
5.51840,5.51840,19.70000,19.70000
5.60107,5.60107,19.70001,19.70001
5.68375,5.68375,19.70003,19.70003
5.76642,5.76642,19.69997,19.69997
5.84909,5.84909,19.69998,19.69998
5.93176,5.93176,19.69998,19.69998
6.01444,6.01444,19.70002,19.70002
6.09711,6.09711,19.70001,19.70001
6.17979,6.17979,19.70005,19.70005
6.26246,6.26246,19.70004,19.70004
0.02059,0.02059,21.30002,21.30002
0.10327,0.10327,21.29997,21.29997
0.18594,0.18594,21.29996,21.29996
0.26861,0.26861,21.30003,21.30003
0.35129,0.35129,21.29999,21.29999
0.43396,0.43396,21.29997,21.29997
0.51664,0.51664,21.29996,21.29996
0.59931,0.59931,21.30002,21.30002
0.68198,0.68198,21.29999,21.29999
0.76466,0.76466,21.30002,21.30002
0.84733,0.84733,21.30000,21.30000
0.93000,0.93000,21.29996,21.29996
1.01268,1.01268,21.30001,21.30001
1.09535,1.09535,21.30001,21.30001
1.17802,1.17802,21.29997,21.29997
1.26070,1.26070,21.30004,21.30004
1.34337,1.34337,21.29997,21.29997
1.42604,1.42604,21.29996,21.29996
1.50872,1.50872,21.30003,21.30003
1.59130,1.59130,21.30002,21.30002
1.67397,1.67397,21.29997,21.29997
1.75665,1.75665,21.29996,21.29996
1.83932,1.83932,21.30003,21.30003
1.92199,1.92199,21.29999,21.29999
2.00467,2.00467,21.29997,21.29997
2.08734,2.08734,21.29996,21.29996
2.17001,2.17001,21.30002,21.30002
2.25269,2.25269,21.29999,21.29999
2.33536,2.33536,21.30002,21.30002
2.41803,2.41803,21.30000,21.30000
2.50071,2.50071,21.29996,21.29996
2.58338,2.58338,21.30001,21.30001
2.66605,2.66605,21.30001,21.30001
2.74873,2.74873,21.29997,21.29997
2.83140,2.83140,21.30004,21.30004
2.91407,2.91407,21.29997,21.29997
2.99675,2.99675,21.29996,21.29996
3.07942,3.07942,21.30003,21.30003
3.16209,3.16209,21.30002,21.30002
3.24477,3.24477,21.29997,21.29997
3.32744,3.32744,21.29996,21.29996
3.41011,3.41011,21.30003,21.30003
3.49279,3.49279,21.29999,21.29999
3.57546,3.57546,21.29997,21.29997
3.65814,3.65814,21.29996,21.29996
3.74081,3.74081,21.30002,21.30002
3.82348,3.82348,21.29999,21.29999
3.90616,3.90616,21.30002,21.30002
3.98883,3.98883,21.30000,21.30000
4.07150,4.07150,21.29996,21.29996
4.15418,4.15418,21.30001,21.30001
4.23685,4.23685,21.30001,21.30001
4.31952,4.31952,21.29997,21.29997
4.40220,4.40220,21.30004,21.30004
4.48487,4.48487,21.29997,21.29997
4.56754,4.56754,21.29996,21.29996
4.65022,4.65022,21.30003,21.30003
4.73300,4.73300,21.30002,21.30002
4.81567,4.81567,21.29997,21.29997
4.89835,4.89835,21.29996,21.29996
4.98102,4.98102,21.30003,21.30003
5.06369,5.06369,21.29999,21.29999
5.14637,5.14637,21.29997,21.29997
5.22904,5.22904,21.29996,21.29996
5.31171,5.31171,21.30002,21.30002
5.39439,5.39439,21.29999,21.29999
5.47706,5.47706,21.30002,21.30002
5.55973,5.55973,21.30000,21.30000
5.64241,5.64241,21.29996,21.29996
5.72508,5.72508,21.30001,21.30001
5.80775,5.80775,21.30001,21.30001
5.89043,5.89043,21.29997,21.29997
5.97310,5.97310,21.30004,21.30004
6.05577,6.05577,21.29997,21.29997
6.13845,6.13845,21.29996,21.29996
6.22112,6.22112,21.30003,21.30003
0.05629,0.05629,22.95496,22.95496
0.12769,0.12769,22.95500,22.95500
0.19909,0.19909,22.95495,22.95495
0.27049,0.27049,22.95497,22.95497
0.34189,0.34189,22.95500,22.95500
0.41329,0.41329,22.95504,22.95504
0.48469,0.48469,22.95501,22.95501
0.55609,0.55609,22.95497,22.95497
0.62749,0.62749,22.95500,22.95500
0.69889,0.69889,22.95501,22.95501
0.77029,0.77029,22.95502,22.95502
0.84169,0.84169,22.95497,22.95497
0.91309,0.91309,22.95496,22.95496
0.98449,0.98449,22.95500,22.95500
1.05589,1.05589,22.95503,22.95503
1.12729,1.12729,22.95501,22.95501
1.19869,1.19869,22.95504,22.95504
1.27009,1.27009,22.95503,22.95503
1.34149,1.34149,22.95496,22.95496
1.41289,1.41289,22.95499,22.95499
1.48429,1.48429,22.95503,22.95503
1.55569,1.55569,22.95502,22.95502
1.62700,1.62700,22.95496,22.95496
1.69840,1.69840,22.95500,22.95500
1.76980,1.76980,22.95495,22.95495
1.84120,1.84120,22.95497,22.95497
1.91260,1.91260,22.95500,22.95500
1.98400,1.98400,22.95504,22.95504
2.05540,2.05540,22.95501,22.95501
2.12680,2.12680,22.95497,22.95497
2.19820,2.19820,22.95500,22.95500
2.26960,2.26960,22.95501,22.95501
2.34099,2.34099,22.95502,22.95502
2.41240,2.41240,22.95497,22.95497
2.48380,2.48380,22.95496,22.95496
2.55519,2.55519,22.95500,22.95500
2.62660,2.62660,22.95503,22.95503
2.69800,2.69800,22.95501,22.95501
2.76940,2.76940,22.95504,22.95504
2.84080,2.84080,22.95503,22.95503
2.91219,2.91219,22.95496,22.95496
2.98360,2.98360,22.95499,22.95499
3.05500,3.05500,22.95503,22.95503
3.12639,3.12639,22.95502,22.95502
3.19779,3.19779,22.95496,22.95496
3.26919,3.26919,22.95500,22.95500
3.34059,3.34059,22.95495,22.95495
3.41199,3.41199,22.95497,22.95497
3.48339,3.48339,22.95500,22.95500
3.55479,3.55479,22.95504,22.95504
3.62619,3.62619,22.95501,22.95501
3.69759,3.69759,22.95497,22.95497
3.76899,3.76899,22.95500,22.95500
3.84039,3.84039,22.95501,22.95501
3.91179,3.91179,22.95502,22.95502
3.98319,3.98319,22.95497,22.95497
4.05459,4.05459,22.95496,22.95496
4.12599,4.12599,22.95500,22.95500
4.19739,4.19739,22.95503,22.95503
